student_id,name,gender,math,chinese,english,study_hours
1001,张伟,M,85,78,82,3.5
1002,李娜,F,92,88,95,5.0
1003,王强,M,68,72,70,2.0
1004,刘敏,F,88,91,86,4.5
1005,陈杰,M,55,60,58,1.0
1006,杨丽,F,95,94,97,6.0
1007,赵磊,M,73,69,75,2.5
1008,黄婷,F,81,85,79,3.0
1009,周涛,M,64,66,61,1.5
1010,吴雪,F,90,92,93,5.5
1011,徐明,M,77,74,80,3.5
1012,朱琳,F,86,89,84,4.0
1013,胡军,M,59,63,55,1.2
1014,孙悦,F,93,90,96,5.8
1015,郭超,M,71,70,73,2.2
1016,林芳,F,84,87,88,4.2
1017,何勇,M,66,65,68,1.8
1018,高静,F,89,93,91,4.8
1019,罗宇,M,75,71,77,2.8
1020,郑楠,F,82,84,83,3.8
